0 0.000000
ndtri domain error
1 0.010000 -2.326348
2 0.020000 -2.053749
3 0.030000 -1.880794
4 0.040000 -1.750686
5 0.050000 -1.644854
6 0.060000 -1.554774
7 0.070000 -1.475791
8 0.080000 -1.405072
9 0.090000 -1.340755
10 0.100000 -1.281552
11 0.110000 -1.226528
12 0.120000 -1.174987
13 0.130000 -1.126391
14 0.140000 -1.080319
15 0.150000 -1.036433
16 0.160000 -0.994458
17 0.170000 -0.954165
18 0.180000 -0.915365
19 0.190000 -0.877896
20 0.200000 -0.841621
21 0.210000 -0.806421
22 0.220000 -0.772193
23 0.230000 -0.738847
24 0.240000 -0.706303
25 0.250000 -0.674490
26 0.260000 -0.643345
27 0.270000 -0.612813
28 0.280000 -0.582842
29 0.290000 -0.553385
30 0.300000 -0.524401
31 0.310000 -0.495850
32 0.320000 -0.467699
33 0.330000 -0.439913
34 0.340000 -0.412463
35 0.350000 -0.385320
36 0.360000 -0.358459
37 0.370000 -0.331853
38 0.380000 -0.305481
39 0.390000 -0.279319
40 0.400000 -0.253347
41 0.410000 -0.227545
42 0.420000 -0.201893
43 0.430000 -0.176374
44 0.440000 -0.150969
45 0.450000 -0.125661
46 0.460000 -0.100434
47 0.470000 -0.075270
48 0.480000 -0.050154
49 0.490000 -0.025069
50 0.500000 0.000000
51 0.510000 0.025069
52 0.520000 0.050154
53 0.530000 0.075270
54 0.540000 0.100434
55 0.550000 0.125661
56 0.560000 0.150969
57 0.570000 0.176374
58 0.580000 0.201893
59 0.590000 0.227545
60 0.600000 0.253347
61 0.610000 0.279319
62 0.620000 0.305481
63 0.630000 0.331853
64 0.640000 0.358459
65 0.650000 0.385320
66 0.660000 0.412463
67 0.670000 0.439913
68 0.680000 0.467699
69 0.690000 0.495850
70 0.700000 0.524401
71 0.710000 0.553385
72 0.720000 0.582842
73 0.730000 0.612813
74 0.740000 0.643345
75 0.750000 0.674490
76 0.760000 0.706303
77 0.770000 0.738847
78 0.780000 0.772193
79 0.790000 0.806421
80 0.800000 0.841621
81 0.810000 0.877896
82 0.820000 0.915365
83 0.830000 0.954165
84 0.840000 0.994458
85 0.850000 1.036433
86 0.860000 1.080319
87 0.870000 1.126391
88 0.880000 1.174987
89 0.890000 1.226528
90 0.900000 1.281552
91 0.910000 1.340755
92 0.920000 1.405072
93 0.930000 1.475791
94 0.940000 1.554774
95 0.950000 1.644854
96 0.960000 1.750686
97 0.970000 1.880794
98 0.980000 2.053749
99 0.990000 2.326348
100 1.000000
ndtri domain error
